,link,category,name,is_save
0,https://vkusvill.ru/goods/cendvich-roll-s-kuritsey-i-arakhisovym-sousom-105271.html,Готовая еда,cэндвич-ролл с курицей и арахисовым соусом,1
1,https://vkusvill.ru/goods/azu-po-tatarski-s-kartofelnym-pyure-70127.html,Готовая еда,азу по-татарски с картофельным пюре,1
2,https://vkusvill.ru/goods/assorti-iz-solenykh-gribov-92005.html,Готовая еда,ассорти из соленых грибов,1
3,https://vkusvill.ru/goods/baklazhany-parmidzhano-98181.html,Готовая еда,баклажаны пармиджано,1
4,https://vkusvill.ru/goods/baklazhany-po-sychuanski-78244.html,Готовая еда,баклажаны по-сычуаньски,1
5,https://vkusvill.ru/goods/batter-chiken-s-risom-92330.html,Готовая еда,баттер чикен с рисом,1
6,https://vkusvill.ru/goods/belyashi-s-myasom-320-g-72682.html,Готовая еда,беляши с мясом,1
7,https://vkusvill.ru/goods/bento-nabor-s-risom-kurinym-shnitselem-i-omletom-100260.html,Готовая еда,бенто набор с рисом куриным шницелем и омлетом,1
8,https://vkusvill.ru/goods/befstroganov-360-g-62810.html,"Мясо, птица",бефстроганов,1
9,https://vkusvill.ru/goods/bitochek-kurinyy-s-kapustoy-i-kartofelnym-pyure-71215.html,Готовая еда,биточек куриный с капустой и картофельным пюре,1
10,https://vkusvill.ru/goods/bitochek-sochnyy-s-penne-61689.html,Готовая еда,биточек сочный с пенне,1
11,https://vkusvill.ru/goods/farsh-svinoy-gp-29595.html,"Мясо, птица",фарш свиной гп,1
12,https://vkusvill.ru/goods/bitochki-kurin-s-tsukini-s-pyure-iz-batata-36801.html,Готовая еда,биточки курин с цукини с пюре из батата,1
13,https://vkusvill.ru/goods/bifshteks-iz-govyadiny-s-kartofelem-28648.html,Готовая еда,бифштекс из говядины с картофелем,1
14,https://vkusvill.ru/goods/blin-khachapuri-s-syrom-suluguni-89939.html,Готовая еда,блин хачапури с сыром сулугуни,1
15,https://vkusvill.ru/goods/blin-syrnyy-po-gollandski-38119.html,Готовая еда,блин сырный по-голландски,1
16,https://vkusvill.ru/goods/blin-omlet-s-kurinym-file-38118.html,Готовая еда,блин-омлет с куриным филе,1
17,https://vkusvill.ru/goods/blinchik-s-nachinkoy-iz-zharenoy-kuritsy-s-kartofelnym-pyure-106880.html,Готовая еда,блинчик с начинкой из жареной курицы с картофельным пюре,1
18,https://vkusvill.ru/goods/blinchiki-tsezar-25023.html,Готовая еда,блинчики цезарь,1
19,https://vkusvill.ru/goods/blinchiki-s-myasom-zam-800-g-61809.html,Замороженные продукты,блинчики с мясом зам,1
20,https://vkusvill.ru/goods/syrniki-s-kokosovym-kremom-102122.html,Готовая еда,сырники с кокосовым кремом,1
21,https://vkusvill.ru/goods/pirog-s-zelenyu-i-yaytsom-56887.html,Готовая еда,пирог с зеленью и яйцом,1
22,https://vkusvill.ru/goods/blinchiki-s-makovoy-nachinkoy-94474.html,Готовая еда,блинчики с маковой начинкой,1
23,https://vkusvill.ru/goods/khleb-rzhanoy-90230.html,Хлеб и выпечка,хлеб ржаной,1
24,https://vkusvill.ru/goods/bliny-domashnie-1-kg-43112.html,Готовая еда,блины домашние,1
25,https://vkusvill.ru/goods/bliny-ovsyanye-6-sht-59996.html,Готовая еда,блины овсяные,1
26,https://vkusvill.ru/goods/bliny-pshenichnye-19345.html,Готовая еда,блины пшеничные,1
27,https://vkusvill.ru/goods/bliny-s-vishney-24132.html,Готовая еда,блины с вишней,1
28,https://vkusvill.ru/goods/pirog-smetannik-s-malinoy-96093.html,Готовая еда,пирог,1
29,https://vkusvill.ru/goods/bliny-s-gribnym-zhyulenom-i-syrom-91489.html,Готовая еда,блины с грибным жюльеном и сыром,1
30,https://vkusvill.ru/goods/bliny-s-grushey-i-myagkim-syrom-43088.html,Готовая еда,блины с грушей и мягким сыром,1
31,https://vkusvill.ru/goods/bliny-s-zavarnym-kremom-myagkim-syrom-i-klubnikoy-47819.html,Готовая еда,блины с заварным кремом мягким сыром и клубникой,1
32,https://vkusvill.ru/goods/bliny-s-klubnikoy-71623.html,Готовая еда,блины с клубникой,1
33,https://vkusvill.ru/goods/bliny-s-kuritsey-v-slivochnom-souse-34570.html,Готовая еда,блины с курицей в сливочном соусе,1
34,https://vkusvill.ru/goods/bliny-s-myasom-19347.html,Готовая еда,блины с мясом,1
35,https://vkusvill.ru/goods/bliny-zhyulen-97464.html,Готовая еда,блины жюльен,1
36,https://vkusvill.ru/goods/bliny-s-semgoy-150-g-36843.html,Готовая еда,блины с семгой,1
37,https://vkusvill.ru/goods/bliny-s-tvorogom-210-g-16943.html,Готовая еда,блины с творогом,1
38,https://vkusvill.ru/goods/borshch-s-kuritsey-107024.html,Готовая еда,борщ с курицей,1
39,https://vkusvill.ru/goods/boul-s-zapechennoy-svekloy-tykvoy-fetoy-i-semechkami-99984.html,Готовая еда,боул с запеченной свеклой тыквой фетой и семечками,1
40,https://vkusvill.ru/goods/brizol-iz-ryby-s-risom-basmati-74667.html,Готовая еда,бризоль из рыбы с рисом басмати,1
41,https://vkusvill.ru/goods/bulgur-s-ovoshchami-i-podkopchenoy-paprikoy-103878.html,Готовая еда,булгур с овощами и подкопченой паприкой,1
42,https://vkusvill.ru/goods/burger-brekfast-kafe-100258.html,Готовая еда,бургер брекфаст кафе,1
43,https://vkusvill.ru/goods/burgery-s-kurinoy-kotletoy-i-syrom-chedder-78473.html,Готовая еда,бургеры с куриной котлетой и сыром чеддер,1
44,https://vkusvill.ru/goods/buterbrod-s-tuntsom-i-bazilikom-156-g-86021.html,Готовая еда,бутерброд с тунцом и базиликом,1
