name,link,category
Cэндвич-ролл с курицей и арахисовым соусом,https://vkusvill.ru/goods/cendvich-roll-s-kuritsey-i-arakhisovym-sousom-105271.html,Готовая еда
Азу по-татарски с картофельным пюре,https://vkusvill.ru/goods/azu-po-tatarski-s-kartofelnym-pyure-70127.html,Готовая еда
Ассорти из соленых грибов,https://vkusvill.ru/goods/assorti-iz-solenykh-gribov-92005.html,Готовая еда
Баклажаны «Пармиджано»,https://vkusvill.ru/goods/baklazhany-parmidzhano-98181.html,Готовая еда
Баклажаны по-сычуаньски,https://vkusvill.ru/goods/baklazhany-po-sychuanski-78244.html,Готовая еда
"Баклажаны по-сычуаньски, 350 г",https://vkusvill.ru/goods/baklazhany-po-sychuanski-350-g-89562.html,Готовая еда
Баттер Чикен с рисом,https://vkusvill.ru/goods/batter-chiken-s-risom-92330.html,Готовая еда
"Беляши с мясом, 320 г",https://vkusvill.ru/goods/belyashi-s-myasom-320-g-72682.html,Готовая еда
"Бенто набор с рисом, куриным шницелем и омлетом",https://vkusvill.ru/goods/bento-nabor-s-risom-kurinym-shnitselem-i-omletom-100260.html,Готовая еда
"Бефстроганов из говядины с грибами, 450 г",https://vkusvill.ru/goods/befstroganov-iz-govyadiny-s-gribami-450-g-78290.html,Готовая еда
Бефстроганов из говядины с картофельным пюре,https://vkusvill.ru/goods/befstroganov-iz-govyadiny-s-kartofelnym-pyure-24513.html,Готовая еда
"Бефстроганов из говядины с картофельным пюре, 350 г",https://vkusvill.ru/goods/befstroganov-iz-govyadiny-s-kartofelnym-pyure-350-g-60823.html,Готовая еда
Биточек куриный с капустой и картофельным пюре,https://vkusvill.ru/goods/bitochek-kurinyy-s-kapustoy-i-kartofelnym-pyure-71215.html,Готовая еда
Биточек сочный с пенне,https://vkusvill.ru/goods/bitochek-sochnyy-s-penne-61689.html,Готовая еда
Биточки из кролика,https://vkusvill.ru/goods/bitochki-iz-krolika-105536.html,Готовая еда
Биточки из кролика с пюре из сельдерея и картофеля,https://vkusvill.ru/goods/bitochki-iz-krolika-s-pyure-iz-seldereya-i-kartofelya-57107.html,Готовая еда
"Биточки из курицы и капусты, 480 г",https://vkusvill.ru/goods/bitochki-iz-kuritsy-i-kapusty-480-g-76795.html,Готовая еда
Биточки из курицы и сыра с запеченным картофелем,https://vkusvill.ru/goods/bitochki-iz-kuritsy-i-syra-s-zapechennym-kartofelem-92843.html,Готовая еда
Биточки курин. с цукини с пюре из батата,https://vkusvill.ru/goods/bitochki-kurin-s-tsukini-s-pyure-iz-batata-36801.html,Готовая еда
Бифштекс из говядины с картофелем,https://vkusvill.ru/goods/bifshteks-iz-govyadiny-s-kartofelem-28648.html,Готовая еда
Блин «Хачапури» с сыром сулугуни,https://vkusvill.ru/goods/blin-khachapuri-s-syrom-suluguni-89939.html,Готовая еда
Блин сырный по-голландски,https://vkusvill.ru/goods/blin-syrnyy-po-gollandski-38119.html,Готовая еда
Блин-омлет с куриным филе,https://vkusvill.ru/goods/blin-omlet-s-kurinym-file-38118.html,Готовая еда
Блинчик с начинкой из жареной курицы с картофельным пюре,https://vkusvill.ru/goods/blinchik-s-nachinkoy-iz-zharenoy-kuritsy-s-kartofelnym-pyure-106880.html,Готовая еда
Блинчики «Цезарь»,https://vkusvill.ru/goods/blinchiki-tsezar-25023.html,Готовая еда
"Блинчики мини с мясом, 400 г",https://vkusvill.ru/goods/blinchiki-mini-s-myasom-400-g-71324.html,Готовая еда
Блинчики с заварным кокосовым кремом,https://vkusvill.ru/goods/blinchiki-s-zavarnym-kokosovym-kremom-105095.html,Готовая еда
Блинчики с капустой и яйцом,https://vkusvill.ru/goods/blinchiki-s-kapustoy-i-yaytsom-61604.html,Готовая еда
Блинчики с маковой начинкой,https://vkusvill.ru/goods/blinchiki-s-makovoy-nachinkoy-94474.html,Готовая еда
"Блинчики с творогом, 400 г",https://vkusvill.ru/goods/blinchiki-s-tvorogom-400-g-71323.html,Готовая еда
"Блинчики с яблоком и корицей, 400 г",https://vkusvill.ru/goods/blinchiki-s-yablokom-i-koritsey-400-g-104026.html,Готовая еда
"Блины домашние, 1 кг",https://vkusvill.ru/goods/bliny-domashnie-1-kg-43112.html,Готовая еда
"Блины овсяные, 6 шт",https://vkusvill.ru/goods/bliny-ovsyanye-6-sht-59996.html,Готовая еда
Блины пшеничные,https://vkusvill.ru/goods/bliny-pshenichnye-19345.html,Готовая еда
Блины с «Крем чиз» и вишней,https://vkusvill.ru/goods/bliny-s-krem-chiz-i-vishney-58742.html,Готовая еда
Блины с вареной сгущенкой,https://vkusvill.ru/goods/bliny-s-varenoy-sgushchenkoy-83770.html,Готовая еда
Блины с ветчиной (из свинины) и с сыром,https://vkusvill.ru/goods/bliny-s-vetchinoy-iz-svininy-i-s-syrom-20835.html,Готовая еда
Блины с ветчиной и сыром,https://vkusvill.ru/goods/bliny-s-vetchinoy-i-syrom-91545.html,Готовая еда
Блины с вишней,https://vkusvill.ru/goods/bliny-s-vishney-24132.html,Готовая еда
Блины с грибным жюльеном и сыром,https://vkusvill.ru/goods/bliny-s-gribnym-zhyulenom-i-syrom-91489.html,Готовая еда
Блины с грушей и мягким сыром,https://vkusvill.ru/goods/bliny-s-grushey-i-myagkim-syrom-43088.html,Готовая еда
"Блины с заварным кремом, мягким сыром и клубникой",https://vkusvill.ru/goods/bliny-s-zavarnym-kremom-myagkim-syrom-i-klubnikoy-47819.html,Готовая еда
Блины с клубникой,https://vkusvill.ru/goods/bliny-s-klubnikoy-71623.html,Готовая еда
Блины с курицей в сливочном соусе,https://vkusvill.ru/goods/bliny-s-kuritsey-v-slivochnom-souse-34570.html,Готовая еда
Блины с мясом,https://vkusvill.ru/goods/bliny-s-myasom-19347.html,Готовая еда
Блины с мясом 200г,https://vkusvill.ru/goods/bliny-s-myasom-200g-91490.html,Готовая еда
"Блины с мясом, 7 шт",https://vkusvill.ru/goods/bliny-s-myasom-7-sht-43242.html,Готовая еда
Блины с начинкой жюльен,https://vkusvill.ru/goods/bliny-s-nachinkoy-zhyulen-21159.html,Готовая еда
"Блины с семгой, 150 г",https://vkusvill.ru/goods/bliny-s-semgoy-150-g-36843.html,Готовая еда
"Блины с творогом, 210 г",https://vkusvill.ru/goods/bliny-s-tvorogom-210-g-16943.html,Готовая еда
"Блины с яблоком, 210 г",https://vkusvill.ru/goods/bliny-s-yablokom-210-g-16942.html,Готовая еда
Блины шоколадные с маскарпоне и вишней,https://vkusvill.ru/goods/bliny-shokoladnye-s-maskarpone-i-vishney-37284.html,Готовая еда
Борщ «Вегетарианский»,https://vkusvill.ru/goods/borshch-vegetarianskiy-20171.html,Готовая еда
Борщ «Вегетарианский»,https://vkusvill.ru/goods/borshch-vegetarianskiy-95299.html,Готовая еда
"Борщ «Вегетарианский», 1 кг",https://vkusvill.ru/goods/borshch-vegetarianskiy-1-kg-44627.html,Готовая еда
Борщ «Украинский»,https://vkusvill.ru/goods/borshch-ukrainskiy-18361.html,Готовая еда
Борщ «Украинский» с курицей и булочкой,https://vkusvill.ru/goods/borshch-ukrainskiy-s-kuritsey-i-bulochkoy-78488.html,Готовая еда
